zone,model,feature,importance,importance_pct
MAC,XGBoost,DewPoint_W,0.003929260652512312,0.39292611209167383
MAC,XGBoost,day_of_week,0.003831168171018362,0.3831168627729252
MAC,XGBoost,day_auto,0.0037521040067076683,0.37521044539933746
MAC,XGBoost,holiday,0.0036129800137132406,0.36129804444140723
MAC,XGBoost,day,0.0034844111651182175,0.34844115804924464
MAC,XGBoost,DayOfWeek,0.0033289403654634953,0.33289407623041584
MAC,XGBoost,month_auto,0.0032086302526295185,0.3208630635128097
MAC,XGBoost,UVIndex_W,0.00288381171412766,0.2883812057904846
MAC,XGBoost,TIME_SLOT,0.0027506714686751366,0.2750671796580767
MAC,XGBoost,is_Saturday,0.0027109584771096706,0.27109588002811436
MAC,XGBoost,peakmonth,0.0026793726719915867,0.26793729913977377
MAC,XGBoost,REQ_LAST168H_roll_std_6,0.0023551220074295998,0.23551222881820544
MAC,XGBoost,REQ_LAST168H_roll_mean_6,0.0022288192994892597,0.22288195651852566
MAC,XGBoost,REQ_LAST168H_diff_1,0.0021186398807913065,0.21186401333528915
MAC,XGBoost,REQ_LAST168H_pct_change_1,0.00198361836373806,0.19836186002038242
MAC,XGBoost,RelativeHumidity_W,0.0016470530536025763,0.1647053249946624
MAC,XGBoost,CloudCover_W,0.000710593827534467,0.07105939122438625
MAC,XGBoost,minute,0.0006227183039300144,0.062271837816382986
MAC,XGBoost,reg,0.0,0.0
MAC,LightGBM,day,853.0,9.477777777777778
MAC,LightGBM,month,718.0,7.977777777777778
MAC,LightGBM,Temp_W,668.0,7.422222222222222
MAC,LightGBM,hour,481.0,5.344444444444445
MAC,LightGBM,REQUIREMENT_LAG_3D,451.0,5.011111111111111
MAC,LightGBM,year,448.0,4.977777777777778
MAC,LightGBM,WetBulb_W,422.0,4.688888888888889
MAC,LightGBM,REQ_LAST168H,385.0,4.277777777777778
MAC,LightGBM,REQ_LAST336H,374.0,4.155555555555555
MAC,LightGBM,TIME_SLOT,359.0,3.988888888888889
MAC,LightGBM,REQ_LAST672H,310.0,3.4444444444444446
MAC,LightGBM,DewPoint_W,277.0,3.077777777777778
MAC,LightGBM,REQ_LAST168H_roll_mean_6,276.0,3.0666666666666664
MAC,LightGBM,long_holiday,251.0,2.788888888888889
MAC,LightGBM,DayOfWeek,245.0,2.722222222222222
MAC,LightGBM,REQ_LAST504H,214.0,2.3777777777777778
